Timestamp,NameGiven,NameFamily,Organization,Title,URL,Status
11/9/2019 6:55:32,Marta,Teperek,TU Delft,Data Stewardship Coordinator,https://www.tudelft.nl/,Myself
11/11/2019 14:53:11,Carrie,Nelson,University of Wisconsin-Madison,Director of Scholarly Communication,http://library.wisc.edu,Myself
11/12/2019 16:11:41,Tom,Olyhoek,DOAJ,Editor-in-Chief,https://doaj.org/,Myself
11/13/2019 17:50:57,Victor,Venema,Grassroots Review Journals,Founder,https://grassroots.is,My Institution
11/14/2019 14:48:59,Paul,Walk,Antleaf,Director,http://www.antleaf.com,Myself
11/14/2019 15:17:53,Neil,Chue Hong,University of Edinburgh,"Director, Software Sustainability Institute",https://www.software.ac.uk/,Myself
11/18/2019 11:10:48,Tobias,Steiner,Open Science MOOC,"Member of the Steering Committee, Member",https://opensciencemooc.eu/,Myself
11/21/2019 8:00:34,Martínez,Dídac,"Servei de Biblioteques, Publicacions i Arxius, Universitat Politècnica de Catalunya UPC","Director del Servei de Biblioteques, Publicacions i Arxius",https://bibliotecnica.upc.edu/,Myself
12/31/2019 6:14:20,Daniel,Mietchen,"School of Data Science, University of Virginia",Senior Scientist,https://datascience.virginia.edu/,Myself
2/10/2020 16:22:19,Robert H.,McDonald,University of Colorado Boulder,Dean of University Libraries,https://www.colorado.edu/libraries/,My Institution
3/9/2020 17:48:53,Ivan,Oransky,The Center For Scientific Integrity,Executive Director,https://retractionwatch.com/,My Institution
3/9/2020 18:04:19,Laura,Paglione,Spherical Cow Group,Partner,https://www.laurapaglione.com/,Myself
3/10/2020 0:22:28,Nate,Hill,Metropolitan New York Library Council,Executive Director ,https://metro.org/,My Institution
